density	A	Z	Nucleus	energy	pressure	chemical_potential	electron_chemical_potential	B/A	Gamma	cs/c	BE_source
7.000000e-12	56	26	Fe-56	6.512888e-09	6.979237e-15	9.304136e+02	5.189379e-01	8.790357e+00	1.774841e+00	1.748879e-03	exp
1.906294e-11	56	26	Fe-56	1.773643e-08	4.130730e-14	9.304164e+02	5.263700e-01	8.790357e+00	1.766997e+00	2.371781e-03	exp
5.237747e-11	56	26	Fe-56	4.873291e-08	2.444813e-13	9.304221e+02	5.407406e-01	8.790357e+00	1.713438e+00	3.372427e-03	exp
1.519000e-10	56	26	Fe-56	1.413315e-07	1.446987e-12	9.304342e+02	5.698538e-01	8.790357e+00	1.648351e+00	4.724294e-03	exp
4.530060e-10	56	26	Fe-56	4.214948e-07	8.564135e-12	9.304586e+02	6.268327e-01	8.790357e+00	1.599437e+00	6.502792e-03	exp
1.403367e-09	56	26	Fe-56	1.305791e-06	5.068767e-11	9.305061e+02	7.356670e-01	8.790357e+00	1.539183e+00	8.726406e-03	exp
4.565808e-09	56	26	Fe-56	4.248615e-06	3.000000e-10	9.305944e+02	9.359980e-01	8.790357e+00	1.507221e+00	9.204278e-03	exp
5.734737e-09	62	28	Ni-62	5.336426e-06	4.014810e-10	9.306141e+02	9.818012e-01	8.794548e+00	1.458293e+00	1.072653e-02	exp
7.003075e-09	62	28	Ni-62	6.516772e-06	5.372900e-10	9.306354e+02	1.031539e+00	8.794548e+00	1.453502e+00	1.098364e-02	exp
8.563200e-09	62	28	Ni-62	7.968698e-06	7.190391e-10	9.306588e+02	1.085950e+00	8.794548e+00	1.443911e+00	1.145193e-02	exp
1.048499e-08	62	28	Ni-62	9.757254e-06	9.622685e-10	9.306844e+02	1.145415e+00	8.794548e+00	1.434504e+00	1.193287e-02	exp
1.285478e-08	62	28	Ni-62	1.196281e-05	1.287775e-09	9.307124e+02	1.210323e+00	8.794548e+00	1.425562e+00	1.242771e-02	exp
1.577986e-08	62	28	Ni-62	1.468527e-05	1.723391e-09	9.307429e+02	1.281088e+00	8.794548e+00	1.417113e+00	1.293701e-02	exp
1.939360e-08	62	28	Ni-62	1.804879e-05	2.306362e-09	9.307761e+02	1.358148e+00	8.794548e+00	1.409177e+00	1.346141e-02	exp
2.386177e-08	62	28	Ni-62	2.220774e-05	3.086535e-09	9.308122e+02	1.441972e+00	8.794548e+00	1.401766e+00	1.400160e-02	exp
2.939053e-08	62	28	Ni-62	2.735409e-05	4.130618e-09	9.308515e+02	1.533059e+00	8.794548e+00	1.394883e+00	1.455832e-02	exp
3.623620e-08	62	28	Ni-62	3.372654e-05	5.527882e-09	9.308942e+02	1.631941e+00	8.794548e+00	1.388525e+00	1.513235e-02	exp
4.471756e-08	62	28	Ni-62	4.162199e-05	7.397799e-09	9.309405e+02	1.739187e+00	8.794548e+00	1.382683e+00	1.572455e-02	exp
5.523108e-08	62	28	Ni-62	5.140973e-05	9.900252e-09	9.309907e+02	1.855407e+00	8.794548e+00	1.377339e+00	1.633577e-02	exp
6.826989e-08	62	28	Ni-62	6.354909e-05	1.324921e-08	9.310451e+02	1.981252e+00	8.794548e+00	1.372474e+00	1.696694e-02	exp
8.444735e-08	62	28	Ni-62	7.861152e-05	1.773102e-08	9.311039e+02	2.117423e+00	8.794548e+00	1.368063e+00	1.761897e-02	exp
1.045264e-07	62	28	Ni-62	9.730789e-05	2.372889e-08	9.311675e+02	2.264669e+00	8.794548e+00	1.364081e+00	1.829286e-02	exp
1.294563e-07	62	28	Ni-62	1.205226e-04	3.175567e-08	9.312363e+02	2.423796e+00	8.794548e+00	1.360498e+00	1.898958e-02	exp
