density	A	Z	Nucleus	energy	pressure	chemical_potential	electron_chemical_potential	B/A	Gamma	cs/c	BE_source
7.000000e-12	56	26	Fe-56	6.512892e-09	6.982075e-15	9.304141e+02	5.188284e-01	8.789742e+00	1.774097e+00	1.748635e-03	exp
1.907022e-11	56	26	Fe-56	1.774321e-08	4.132130e-14	9.304169e+02	5.262628e-01	8.789742e+00	1.766665e+00	2.371683e-03	exp
5.239328e-11	56	26	Fe-56	4.874766e-08	2.445476e-13	9.304227e+02	5.406323e-01	8.789742e+00	1.713468e+00	3.372342e-03	exp
1.519404e-10	56	26	Fe-56	1.413692e-07	1.447281e-12	9.304348e+02	5.697434e-01	8.789742e+00	1.648344e+00	4.724087e-03	exp
4.531092e-10	56	26	Fe-56	4.215911e-07	8.565295e-12	9.304592e+02	6.267164e-01	8.789742e+00	1.599430e+00	6.502408e-03	exp
1.403634e-09	56	26	Fe-56	1.306040e-06	5.069111e-11	9.305066e+02	7.355359e-01	8.789742e+00	1.539176e+00	8.725764e-03	exp
4.566498e-09	56	26	Fe-56	4.249260e-06	3.000000e-10	9.305949e+02	9.358336e-01	8.789742e+00	1.507213e+00	9.203596e-03	exp
5.741064e-09	62	28	Ni-62	5.342316e-06	4.019793e-10	9.306147e+02	9.817172e-01	8.793884e+00	1.458221e+00	1.072811e-02	exp
7.016836e-09	62	28	Ni-62	6.529583e-06	5.386244e-10	9.306361e+02	1.031684e+00	8.793884e+00	1.453408e+00	1.098643e-02	exp
8.587513e-09	62	28	Ni-62	7.991330e-06	7.217195e-10	9.306597e+02	1.086365e+00	8.793884e+00	1.443778e+00	1.145679e-02	exp
1.052405e-08	62	28	Ni-62	9.793610e-06	9.670543e-10	9.306854e+02	1.146148e+00	8.793884e+00	1.434339e+00	1.193992e-02	exp
1.291420e-08	62	28	Ni-62	1.201812e-05	1.295786e-09	9.307135e+02	1.211425e+00	8.793884e+00	1.425368e+00	1.243708e-02	exp
1.586711e-08	62	28	Ni-62	1.476649e-05	1.736264e-09	9.307442e+02	1.282617e+00	8.793884e+00	1.416896e+00	1.294883e-02	exp
1.951861e-08	62	28	Ni-62	1.816516e-05	2.326473e-09	9.307776e+02	1.360167e+00	8.793884e+00	1.408941e+00	1.347583e-02	exp
2.403766e-08	62	28	Ni-62	2.237147e-05	3.117313e-09	9.308140e+02	1.444552e+00	8.793884e+00	1.401515e+00	1.401877e-02	exp
2.963458e-08	62	28	Ni-62	2.758128e-05	4.176984e-09	9.308536e+02	1.536278e+00	8.793884e+00	1.394623e+00	1.457840e-02	exp
3.657113e-08	62	28	Ni-62	3.403835e-05	5.596870e-09	9.308966e+02	1.635884e+00	8.793884e+00	1.388260e+00	1.515553e-02	exp
4.517315e-08	62	28	Ni-62	4.204614e-05	7.499420e-09	9.309432e+02	1.743949e+00	8.793884e+00	1.382416e+00	1.575101e-02	exp
5.584624e-08	62	28	Ni-62	5.198246e-05	1.004870e-08	9.309938e+02	1.861092e+00	8.793884e+00	1.377074e+00	1.636572e-02	exp
6.909539e-08	62	28	Ni-62	6.431771e-05	1.346457e-08	9.310486e+02	1.987975e+00	8.793884e+00	1.372213e+00	1.700059e-02	exp
8.554930e-08	62	28	Ni-62	7.963759e-05	1.804159e-08	9.311080e+02	2.125309e+00	8.793884e+00	1.367810e+00	1.765656e-02	exp
1.059907e-07	62	28	Ni-62	9.867144e-05	2.417449e-08	9.311722e+02	2.273856e+00	8.793884e+00	1.363837e+00	1.833462e-02	exp
