density	A	Z	Nucleus	energy	pressure	chemical_potential	electron_chemical_potential	B/A	Gamma	cs/c	BE_source
7.000000e-12	56	26	Fe-56	6.512892e-09	6.979297e-15	9.304141e+02	5.188284e-01	8.789742e+00	1.774531e+00	1.748644e-03	exp
1.906626e-11	56	26	Fe-56	1.773953e-08	4.130760e-14	9.304169e+02	5.262607e-01	8.789742e+00	1.766867e+00	2.371585e-03	exp
5.238518e-11	56	26	Fe-56	4.874011e-08	2.444827e-13	9.304227e+02	5.406293e-01	8.789742e+00	1.713460e+00	3.372195e-03	exp
1.519221e-10	56	26	Fe-56	1.413522e-07	1.446993e-12	9.304348e+02	5.697390e-01	8.789742e+00	1.648351e+00	4.723956e-03	exp
4.530717e-10	56	26	Fe-56	4.215562e-07	8.564159e-12	9.304592e+02	6.267106e-01	8.789742e+00	1.599434e+00	6.502315e-03	exp
1.403574e-09	56	26	Fe-56	1.305984e-06	5.068775e-11	9.305066e+02	7.355304e-01	8.789742e+00	1.539178e+00	8.725741e-03	exp
4.566498e-09	56	26	Fe-56	4.249260e-06	3.000000e-10	9.305949e+02	9.358336e-01	8.789742e+00	1.507214e+00	9.203570e-03	exp
5.736303e-09	62	28	Ni-62	5.337885e-06	4.014914e-10	9.306146e+02	9.815193e-01	8.793884e+00	1.458281e+00	1.072518e-02	exp
7.005123e-09	62	28	Ni-62	6.518682e-06	5.373179e-10	9.306360e+02	1.031251e+00	8.793884e+00	1.453490e+00	1.098227e-02	exp
8.565872e-09	62	28	Ni-62	7.971190e-06	7.190951e-10	9.306593e+02	1.085654e+00	8.793884e+00	1.443898e+00	1.145054e-02	exp
1.048847e-08	62	28	Ni-62	9.760498e-06	9.623685e-10	9.306849e+02	1.145112e+00	8.793884e+00	1.434491e+00	1.193146e-02	exp
1.285930e-08	62	28	Ni-62	1.196703e-05	1.287942e-09	9.307129e+02	1.210012e+00	8.793884e+00	1.425549e+00	1.242628e-02	exp
