density	A	Z	Nucleus	energy	pressure	chemical_potential	electron_chemical_potential	B/A	Gamma	cs/c	BE_source
7.000000e-12	56	26	Fe-56	6.512888e-09	6.979383e-15	9.304136e+02	5.189379e-01	8.790357e+00	1.774818e+00	1.748878e-03	exp
1.906315e-11	56	26	Fe-56	1.773662e-08	4.130802e-14	9.304164e+02	5.263701e-01	8.790357e+00	1.766987e+00	2.371786e-03	exp
5.237789e-11	56	26	Fe-56	4.873331e-08	2.444847e-13	9.304221e+02	5.407408e-01	8.790357e+00	1.713438e+00	3.372435e-03	exp
1.519010e-10	56	26	Fe-56	1.413324e-07	1.447002e-12	9.304342e+02	5.698541e-01	8.790357e+00	1.648350e+00	4.724300e-03	exp
4.530080e-10	56	26	Fe-56	4.214966e-07	8.564194e-12	9.304586e+02	6.268330e-01	8.790357e+00	1.599437e+00	6.502797e-03	exp
1.403370e-09	56	26	Fe-56	1.305794e-06	5.068785e-11	9.305061e+02	7.356673e-01	8.790357e+00	1.539183e+00	8.726408e-03	exp
4.565808e-09	56	26	Fe-56	4.248615e-06	3.000000e-10	9.305944e+02	9.359980e-01	8.790357e+00	1.507221e+00	9.204279e-03	exp
5.734987e-09	62	28	Ni-62	5.336658e-06	4.015066e-10	9.306141e+02	9.818116e-01	8.794555e+00	1.458290e+00	1.072669e-02	exp
7.003689e-09	62	28	Ni-62	6.517344e-06	5.373585e-10	9.306354e+02	1.031562e+00	8.794555e+00	1.453498e+00	1.098385e-02	exp
8.564334e-09	62	28	Ni-62	7.969754e-06	7.191766e-10	9.306588e+02	1.085987e+00	8.794555e+00	1.443904e+00	1.145226e-02	exp
1.048685e-08	62	28	Ni-62	9.758988e-06	9.625138e-10	9.306844e+02	1.145469e+00	8.794555e+00	1.434496e+00	1.193332e-02	exp
1.285765e-08	62	28	Ni-62	1.196549e-05	1.288186e-09	9.307124e+02	1.210398e+00	8.794555e+00	1.425553e+00	1.242828e-02	exp
1.578412e-08	62	28	Ni-62	1.468923e-05	1.724050e-09	9.307429e+02	1.281185e+00	8.794555e+00	1.417102e+00	1.293771e-02	exp
1.939974e-08	62	28	Ni-62	1.805450e-05	2.307391e-09	9.307761e+02	1.358271e+00	8.794555e+00	1.409165e+00	1.346225e-02	exp
2.387045e-08	62	28	Ni-62	2.221582e-05	3.088110e-09	9.308123e+02	1.442125e+00	8.794555e+00	1.401753e+00	1.400258e-02	exp
2.940262e-08	62	28	Ni-62	2.736534e-05	4.132988e-09	9.308516e+02	1.533246e+00	8.794555e+00	1.394870e+00	1.455945e-02	exp
3.625284e-08	62	28	Ni-62	3.374203e-05	5.531406e-09	9.308943e+02	1.632166e+00	8.794555e+00	1.388512e+00	1.513365e-02	exp
4.474024e-08	62	28	Ni-62	4.164311e-05	7.402987e-09	9.309406e+02	1.739456e+00	8.794555e+00	1.382669e+00	1.572602e-02	exp
5.526176e-08	62	28	Ni-62	5.143829e-05	9.907827e-09	9.309908e+02	1.855724e+00	8.794555e+00	1.377326e+00	1.633743e-02	exp
6.831112e-08	62	28	Ni-62	6.358748e-05	1.326019e-08	9.310452e+02	1.981624e+00	8.794555e+00	1.372461e+00	1.696878e-02	exp
8.450245e-08	62	28	Ni-62	7.866283e-05	1.774685e-08	9.311041e+02	2.117856e+00	8.794555e+00	1.368050e+00	1.762103e-02	exp
1.045997e-07	62	28	Ni-62	9.737614e-05	2.375159e-08	9.311677e+02	2.265171e+00	8.794555e+00	1.364068e+00	1.829513e-02	exp
1.295533e-07	62	28	Ni-62	1.206130e-04	3.178807e-08	9.312366e+02	2.424374e+00	8.794555e+00	1.360486e+00	1.899208e-02	exp
1.605456e-07	62	28	Ni-62	1.494753e-04	4.254373e-08	9.313109e+02	2.596333e+00	8.794555e+00	1.358794e+00	1.930425e-02	exp
2.054684e-07	64	28	Ni-64	1.913140e-04	5.693863e-08	9.313889e+02	2.781979e+00	8.777464e+00	1.353055e+00	2.046530e-02	exp
2.548531e-07	64	28	Ni-64	2.373125e-04	7.620412e-08	9.314728e+02	2.982314e+00	8.777464e+00	1.351851e+00	2.089614e-02	exp
3.162289e-07	64	28	Ni-64	2.944852e-04	1.019882e-07	9.315633e+02	3.198414e+00	8.777464e+00	1.349580e+00	2.168246e-02	exp
3.925197e-07	64	28	Ni-64	3.655588e-04	1.364964e-07	9.316609e+02	3.431440e+00	8.777464e+00	1.347568e+00	2.249658e-02	exp
4.873637e-07	64	28	Ni-64	4.539263e-04	1.826807e-07	9.317662e+02	3.682637e+00	8.777464e+00	1.345788e+00	2.333964e-02	exp
6.052873e-07	64	28	Ni-64	5.638104e-04	2.444917e-07	9.318796e+02	3.953350e+00	8.777464e+00	1.344219e+00	2.421281e-02	exp
7.519221e-07	64	28	Ni-64	7.004656e-04	3.272168e-07	9.320018e+02	4.245023e+00	8.777464e+00	1.343484e+00	2.460399e-02	exp
9.823670e-07	86	36	Kr-86	9.152558e-04	4.379324e-07	9.321299e+02	4.568289e+00	8.712029e+00	1.341087e+00	2.581842e-02	exp
1.220825e-06	86	36	Kr-86	1.137546e-03	5.861091e-07	9.322648e+02	4.907346e+00	8.712029e+00	1.340587e+00	2.635588e-02	exp
1.517412e-06	86	36	Kr-86	1.414066e-03	7.844223e-07	9.324100e+02	5.272445e+00	8.712029e+00	1.340087e+00	2.678012e-02	exp
1.947975e-06	84	34	Se-84	1.815566e-03	1.049836e-06	9.325661e+02	5.662783e+00	8.658794e+00	1.338440e+00	2.834977e-02	exp
2.421864e-06	84	34	Se-84	2.257538e-03	1.405053e-06	9.327291e+02	6.085734e+00	8.658794e+00	1.338106e+00	2.893844e-02	exp
3.011365e-06	84	34	Se-84	2.807435e-03	1.880460e-06	9.329046e+02	6.540995e+00	8.658794e+00	1.337480e+00	3.001313e-02	exp
3.744710e-06	84	34	Se-84	3.491648e-03	2.516724e-06	9.330934e+02	7.030984e+00	8.658794e+00	1.336935e+00	3.112695e-02	exp
4.657030e-06	84	34	Se-84	4.343023e-03	3.368271e-06	9.332967e+02	7.558307e+00	8.658794e+00	1.336459e+00	3.228138e-02	exp
5.792036e-06	84	34	Se-84	5.402447e-03	4.507944e-06	9.335154e+02	8.125764e+00	8.658794e+00	1.336238e+00	3.279858e-02	exp
7.461015e-06	82	32	Ge-82	6.960679e-03	6.033231e-06	9.337485e+02	8.732054e+00	8.563756e+00	1.335517e+00	3.466118e-02	exp
9.280499e-06	82	32	Ge-82	8.659847e-03	8.074606e-06	9.339931e+02	9.388729e+00	8.563756e+00	1.335371e+00	3.537840e-02	exp
1.154424e-05	82	32	Ge-82	1.077447e-02	1.080669e-05	9.342561e+02	1.009526e+01	8.563756e+00	1.335099e+00	3.668776e-02	exp
1.436076e-05	82	32	Ge-82	1.340623e-02	1.446319e-05	9.345392e+02	1.085541e+01	8.563756e+00	1.334973e+00	3.727435e-02	exp
1.856315e-05	80	30	Zn-80	1.733422e-02	1.935689e-05	9.348401e+02	1.166733e+01	8.423546e+00	1.334562e+00	3.932100e-02	exp
2.309366e-05	80	30	Zn-80	2.157025e-02	2.590640e-05	9.351554e+02	1.254667e+01	8.423546e+00	1.334480e+00	4.013321e-02	exp
2.873066e-05	80	30	Zn-80	2.684271e-02	3.467197e-05	9.354946e+02	1.349266e+01	8.423546e+00	1.334398e+00	4.077404e-02	exp
3.728251e-05	78	28	Ni-78	3.484471e-02	4.640342e-05	9.358574e+02	1.450283e+01	8.231653e+00	1.334130e+00	4.292726e-02	the
4.638494e-05	78	28	Ni-78	4.336504e-02	6.210426e-05	9.362337e+02	1.559697e+01	8.231653e+00	1.334076e+00	4.381287e-02	the
5.771073e-05	78	28	Ni-78	5.397097e-02	8.311756e-05	9.366385e+02	1.677394e+01	8.231653e+00	1.333976e+00	4.542939e-02	the
7.180301e-05	78	28	Ni-78	6.717349e-02	1.112408e-04	9.370740e+02	1.804000e+01	8.231653e+00	1.333930e+00	4.615349e-02	the
9.565802e-05	124	42	Mo-124	8.953367e-02	1.488798e-04	9.375330e+02	1.946821e+01	7.826345e+00	1.333930e+00	4.615349e-02	the
1.227836e-04	122	40	Zr-122	1.149720e-01	1.992540e-04	9.380014e+02	2.092842e+01	7.637007e+00	1.333930e+00	4.615349e-02	the
1.527712e-04	122	40	Zr-122	1.431078e-01	2.666727e-04	9.384920e+02	2.250881e+01	7.637007e+00	1.333930e+00	4.615349e-02	the
1.965305e-04	120	38	Sr-120	1.841886e-01	3.569028e-04	9.390175e+02	2.419735e+01	7.407288e+00	1.333930e+00	4.615349e-02	the
2.486087e-04	122	38	Sr-122	2.331064e-01	4.776628e-04	9.395650e+02	2.602499e+01	7.287318e+00	1.333930e+00	4.615349e-02	the
